;;;;;;Series;STANDARD SETS;;;;;;;;;;;;;;;;;;SPECIAL SETS;;;;;;;;;;;THEME SETS;;;;;;;;;;;;;MOTORS;;;;;;;;;;;;STANDARD SETS;;;;;;;;;;ACTION PACKS Series 1;;;;;;;;;ACTION PACKS Series 2;;;;;;;;
;;;;;;Set Number;7001;7021;7002;7022;7003;7023;7004;7024;7005;7025;7006;7026;7007;7027;7008;7028;7009;7010;7032;7034;;;7062;7074;;6018;;;7500;8001;8002;9015;9515;9014;9514;9016;9017;9517;9018;9518;9530;9531;11000;11010;11150;11055;11053;11057;11062;11071;11072;11170;11175;11180;7551;7501;7502;7503;7504;7505;7521;7522;7509;7510;7801;7802;7803;7804;7805;7806;7807;7808;7809;7950;7951;7952;7953;7954;7955;7956;7957;7958
;;;;;;Set Name;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Set;Motor.S.;Motor.S.;Electr.S.;Eltron.S.;Gears;Mecha;Electro;Flexible;Pocket;Pocket;Pocket;Clock;Clock;Army;Army;Highway;Highway;Super;Combat;Combat;Crane;Crane;Mecca;Space;Magic;No.1;E15R;P.Drive;P.Drive;P.Drive;6 Ratio;EU;EU;Steam;Hand;Power;A;No. 1;No. 2;No. 3;No. 4;No.5;Extens;Extens;No. 9;No. 10;Stellar;Star;Lunar;Cement;Breakd;Dumper;Farm;Combine;Prairie;Cosmic;Mob. R.;Moon;Contain;Bull;Tractor;Drags;Stock C;Formula
4;;;bld;sp;"Perforated Strips, 3""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;12;;;;;;;;;;;;;;;;;;
5;;;;zn;"Perforated Strips, 2 1/2""";;4;;4;2;6;3;9;;9;3;12;2;14;;14;4;18;72;6;9;9;9;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;bld;sp;"Perforated Strips, 2 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;4;18;72;;;;;;;;;;;;;2;;;;;
6;;;;zn;"Perforated Strips, 2"", with 5 holes";;;;;;;;;;;;;;;;;2;2;12;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;bld;sp;"Perforated Strips, 2"", with 5 holes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;;2;12;;;;;;;;;;;;;;;;;;
6;a;;;zn;"Perforated Strips, 1 1/2""";;;;;;;;;;;2;2;2;4;;4;2;6;10;;;;;;9;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;a;;bld;sp;"Perforated Strips, 1 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;10;;;;;;;;;;;;;;;;;;
7;;;;zn;"Angle Girder, 24 1/2""";;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;bld;sp;"Angle Girder, 24 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
7;a;;;zn;"Angle Girder, 18 1/2""";;;;;;;;;;;;;;;;;2;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
